noun_w_buah_affixed1	noun_w_buah_affixed2	cossim
penyakit	lukisan	0.22
penyakit	tuntutan	0.31
penyakit	pelanggaran	0.36
penyakit	gagasan	0.3
penyakit	pesanan	0.2
penyakit	penemuan	0.29
penyakit	jaminan	0.26
penyakit	perkebunan	0.27
penyakit	lingkaran	0.27
penyakit	daratan	0.22
penyakit	kekalahan	0.36
penyakit	pergerakan	0.3
penyakit	percobaan	0.29
penyakit	peradaban	0.34
penyakit	kegagalan	0.39
penyakit	perayaan	0.26
penyakit	perkawinan	0.31
penyakit	perekonomian	0.34
penyakit	pengakuan	0.21
penyakit	kajian	0.28
penyakit	kesuksesan	0.28
penyakit	dataran	0.26
penyakit	persamaan	0.22
penyakit	tinjauan	0.17
penyakit	kesepakatan	0.19
penyakit	perumahan	0.23
penyakit	penutup	0.18
penyakit	pemberontakan	0.36
penyakit	pengajaran	0.27
penyakit	kebahagiaan	0.3
penyakit	susunan	0.26
penyakit	kebakaran	0.37
penyakit	undangan	0.21
penyakit	kesimpulan	0.21
penyakit	panduan	0.18
penyakit	tahapan	0.34
penyakit	larutan	0.23
penyakit	angkutan	0.25
penyakit	pengukuran	0.27
penyakit	dugaan	0.36
penyakit	keadilan	0.19
penyakit	pameran	0.17
penyakit	permohonan	0.23
penyakit	keseimbangan	0.24
penyakit	perlawanan	0.31
penyakit	pengumuman	0.15
penyakit	kemasan	0.24
penyakit	persahabatan	0.27
penyakit	tawaran	0.19
penyakit	pencapaian	0.27
penyakit	acuan	0.19
penyakit	kehormatan	0.27
penyakit	muatan	0.23
penyakit	percakapan	0.23
penyakit	ungkapan	0.21
penyakit	kenangan	0.23
penyakit	mainan	0.18
penyakit	rancangan	0.23
penyakit	karangan	0.25
penyakit	dorongan	0.24
penyakit	batasan	0.25
penyakit	bayangan	0.22
penyakit	tarian	0.24
penyakit	pertarungan	0.32
penyakit	usulan	0.23
penyakit	ledakan	0.31
penyakit	pengembang	0.15
penyakit	pembuka	0.19
penyakit	penerbit	0.11
penyakit	ingatan	0.25
penyakit	hiasan	0.21
penyakit	permulaan	0.27
penyakit	balasan	0.23
penyakit	pemecahan	0.29
penyakit	tuduhan	0.34
penyakit	penerbitan	0.18
penyakit	perdebatan	0.3
penyakit	tembakan	0.21
penyakit	keberanian	0.23
penyakit	ciuman	0.25
penyakit	anggapan	0.38
penyakit	perhiasan	0.2
penyakit	pukulan	0.3
penyakit	kutipan	0.16
penyakit	kepastian	0.23
penyakit	kebanggaan	0.27
penyakit	permukiman	0.26
penyakit	hunian	0.26
penyakit	kejutan	0.25
penyakit	tayangan	0.17
penyakit	pengantar	0.13
penyakit	kuburan	0.26
penyakit	pengorbanan	0.21
penyakit	pangkalan	0.17
penyakit	lembaran	0.19
penyakit	tendangan	0.26
penyakit	perpaduan	0.28
penyakit	kesedihan	0.39
penyakit	jalinan	0.29
penyakit	kejujuran	0.19
penyakit	senyuman	0.2
penyakit	keajaiban	0.34
penyakit	paduan	0.18
penyakit	perlombaan	0.24
penyakit	perkumpulan	0.26
penyakit	tautan	0.14
penyakit	keharusan	0.32
penyakit	pelukan	0.22
penyakit	perpisahan	0.26
penyakit	persidangan	0.19
penyakit	rumusan	0.2
penyakit	penyajian	0.23
penyakit	nyanyian	0.24
penyakit	kementerian	0.21
penyakit	perkampungan	0.26
penyakit	penanda	0.23
penyakit	pengabdian	0.27
penyakit	terobosan	0.22
penyakit	suntikan	0.23
penyakit	persimpangan	0.21
penyakit	kritikan	0.23
penyakit	pertemanan	0.27
penyakit	kekosongan	0.25
penyakit	percetakan	0.24
penyakit	halangan	0.31
penyakit	kutukan	0.42
penyakit	perbincangan	0.22
penyakit	kiriman	0.24
penyakit	kebodohan	0.37
penyakit	teriakan	0.22
penyakit	kejelasan	0.19
penyakit	pertengkaran	0.31
penyakit	ajakan	0.22
penyakit	kemewahan	0.26
penyakit	pelarian	0.27
penyakit	anjuran	0.3
penyakit	pencitraan	0.25
penyakit	ringkasan	0.18
penyakit	akhiran	0.05
penyakit	tontonan	0.19
penyakit	kerinduan	0.3
penyakit	jebakan	0.27
penyakit	pengkhianatan	0.3
penyakit	garapan	0.13
penyakit	terusan	0.22
penyakit	penegasan	0.16
penyakit	kontrakan	0.16
penyakit	cerminan	0.33
penyakit	lompatan	0.18
penyakit	renungan	0.14
penyakit	pelataran	0.14
penyakit	perempatan	0.13
penyakit	rangkuman	0.23
penyakit	ketukan	0.16
penyakit	bisikan	0.25
penyakit	bungkusan	0.18
penyakit	kerumitan	0.29
penyakit	pahatan	0.2
penyakit	sindiran	0.22
penyakit	kewajaran	0.18
penyakit	penantian	0.24
penyakit	pergelaran	0.12
