noun_w_ekor	noun_w_orang	cossim
pejuang	sukarelawan	0.38
pejuang	penerbang	0.41
pejuang	pejalan	0.29
pejuang	petinju	0.36
pejuang	penyandang	0.29
pejuang	penanggung	0.21
pejuang	penolong	0.35
pejuang	jagoan	0.38
pejuang	penembak	0.41
pejuang	penipu	0.29
pejuang	penyelamat	0.39
pejuang	pendaftar	0.2
pejuang	pelari	0.32
pejuang	pengiring	0.25
pejuang	penata	0.24
pejuang	pengambil	0.28
pejuang	penuntut	0.36
pejuang	pembina	0.32
pejuang	tanggungan	0.22
pejuang	pencetus	0.33
pejuang	pemangsa	0.31
pejuang	penyebar	0.38
pejuang	pemesan	0.12
pejuang	dermawan	0.3
pejuang	pemeriksa	0.25
pejuang	negarawan	0.44
pejuang	pengukur	0.19
pejuang	penambang	0.28
pejuang	pembajak	0.32
pejuang	budayawan	0.39
pejuang	perekam	0.25
pejuang	penyayang	0.27
pejuang	pemukul	0.17
pejuang	perencana	0.33
pejuang	pengumpul	0.26
pejuang	wirausahawan	0.36
pejuang	penangkap	0.25
pejuang	penyelam	0.27
pejuang	pemasar	0.28
pejuang	pemalas	0.21
pejuang	penarik	0.22
pejuang	pengembara	0.38
pejuang	gerilyawan	0.56
pejuang	penggagas	0.36
pejuang	penyembah	0.26
pejuang	penilai	0.25
pejuang	penguji	0.25
pejuang	pengunjuk	0.32
pejuang	penyembuh	0.28
pejuang	rohaniwan	0.28
pejuang	pemanah	0.37
pejuang	penyelidik	0.27
pejuang	penampil	0.24
pejuang	peranakan	0.26
pejuang	suruhan	0.16
pejuang	usahawan	0.41
pejuang	pelapor	0.22
pejuang	pemahat	0.2
pejuang	penunggu	0.19
pejuang	penurut	0.17
pejuang	pengusul	0.21
pejuang	pemimpi	0.31
pejuang	penyusup	0.33
pejuang	pemungut	0.21
pejuang	penceramah	0.26
pejuang	penggarap	0.24
pejuang	pelupa	0.13
pejuang	perupa	0.22
pejuang	penyendiri	0.25
pejuang	pemateri	0.27
pejuang	penggali	0.32
pejuang	penukar	0.28
pejuang	penyabar	0.3
pejuang	pelempar	0.24
pejuang	pemborong	0.17
pejuang	pendemo	0.33
pejuang	pencerita	0.28
pejuang	penyelundup	0.35
pejuang	penganggur	0.29
pejuang	penggiling	0.21
pejuang	pengulas	0.3
pejuang	penagih	0.24
pejuang	hartawan	0.35
pejuang	perumus	0.27
pejuang	peniup	0.27
pejuang	penggalang	0.37
pejuang	pembenci	0.39
pejuang	pengkaji	0.33
pejuang	pembebas	0.4
pejuang	pemetik	0.23
pejuang	penjilat	0.26
pejuang	pencabut	0.28
pejuang	peramah	0.23
pejuang	pengukir	0.31
pejuang	pengejar	0.36
pejuang	pemerah	0.26
pejuang	wiraswastawan	0.32
pejuang	pemulia	0.29
pejuang	penendang	0.24
pejuang	penyimak	0.22
pejuang	pelestari	0.34
pejuang	penjemput	0.28
pejuang	pembaru	0.45
pejuang	penghayat	0.31
pejuang	pengadu	0.23
pejuang	pemasak	0.21
pejuang	pembobol	0.27
pejuang	penggemblengan	0.36
pejuang	penghasut	0.34
pejuang	penderma	0.29
pejuang	pemaksa	0.25
pejuang	peragu	0.26
pejuang	pengekor	0.35
pejuang	perayu	0.26
pejuang	pendebat	0.36
pejuang	penyuara	0.4
pejuang	pemimpinan	0.36
pejuang	penghadang	0.37
pejuang	pengasah	0.28
pejuang	pengutang	0.25
pejuang	pembisik	0.28
pejuang	pengetuk	0.27
pejuang	pemberang	0.42
pejuang	peneguh	0.27
pejuang	pewirausaha	0.34
pejuang	pencuriga	0.3
pejuang	pengalah	0.43
pejuang	pengalasan	0.39
pejuang	pengamuk	0.36
pemburu	pemain	0.36
pemburu	penduduk	0.26
pemburu	pengguna	0.3
pemburu	wisatawan	0.29
pemburu	penelitian	0.27
pemburu	pasangan	0.3
pemburu	penulis	0.35
pemburu	pemimpin	0.35
pemburu	peserta	0.27
pemburu	pengunjung	0.33
pemburu	penderita	0.22
pemburu	pembelajaran	0.2
pemburu	pelayanan	0.22
pemburu	kehilangan	0.29
pemburu	keturunan	0.31
pemburu	pemilik	0.38
pemburu	penyanyi	0.33
pemburu	karyawan	0.25
pemburu	pelanggan	0.25
pemburu	kelahiran	0.22
pemburu	perdagangan	0.28
pemburu	pekerja	0.36
pemburu	kepercayaan	0.22
pemburu	pemuda	0.39
pemburu	penumpang	0.24
pemburu	pimpinan	0.28
pemburu	pembaca	0.3
pemburu	kekurangan	0.15
pemburu	pejabat	0.3
pemburu	campuran	0.21
pemburu	pelaku	0.4
pemburu	peneliti	0.41
pemburu	pengusaha	0.38
pemburu	pendukung	0.3
pemburu	petunjuk	0.25
pemburu	pemenang	0.31
pemburu	petugas	0.34
pemburu	perbaikan	0.17
pemburu	pelatih	0.29
pemburu	pedagang	0.42
pemburu	pelajar	0.31
pemburu	pengurus	0.2
pemburu	jurusan	0.19
pemburu	ilmuwan	0.38
pemburu	pendiri	0.26
pemburu	angkatan	0.21
pemburu	sasaran	0.32
pemburu	pembuat	0.41
pemburu	penjual	0.43
pemburu	pengganti	0.33
pemburu	perwakilan	0.17
pemburu	lulusan	0.23
pemburu	pembeli	0.41
pemburu	penerima	0.27
pemburu	pergerakan	0.3
pemburu	pemegang	0.26
pemburu	penyedia	0.31
pemburu	penjaga	0.42
pemburu	pencari	0.46
pemburu	pembawa	0.35
pemburu	undangan	0.15
pemburu	cadangan	0.23
pemburu	pemeran	0.3
pemburu	bangsawan	0.31
pemburu	pembantu	0.22
pemburu	pengarang	0.33
pemburu	pengelola	0.34
pemburu	tahanan	0.22
pemburu	pengikut	0.28
pemburu	rombongan	0.31
pemburu	pengajar	0.3
pemburu	pendidik	0.3
pemburu	penghuni	0.32
pemburu	pengembang	0.34
pemburu	jajaran	0.24
pemburu	pembuka	0.25
pemburu	penari	0.35
pemburu	pemberi	0.33
pemburu	pelayan	0.31
pemburu	pendatang	0.31
pemburu	pembunuh	0.49
pemburu	penyelenggara	0.28
pemburu	turunan	0.25
pemburu	pelukis	0.35
pemburu	utusan	0.26
pemburu	pembiayaan	0.2
pemburu	pengacara	0.25
pemburu	perawat	0.3
pemburu	penganut	0.28
pemburu	pengamat	0.38
pemburu	penghubung	0.17
pemburu	pesaing	0.25
pemburu	pengawas	0.31
pemburu	penjahat	0.42
pemburu	pelaksana	0.32
pemburu	kebangsaan	0.22
pemburu	pembicara	0.19
pemburu	pengantar	0.23
pemburu	pendengar	0.25
pemburu	pendamping	0.3
pemburu	pewaris	0.25
pemburu	pengungsi	0.27
pemburu	pengendara	0.34
pemburu	pencuri	0.44
pemburu	pengawal	0.36
pemburu	penemu	0.33
pemburu	pengemudi	0.33
pemburu	penerjemah	0.29
pemburu	pemandu	0.38
pemburu	tawanan	0.33
pemburu	penegak	0.36
pemburu	penutur	0.21
pemburu	penyihir	0.38
pemburu	pelamar	0.26
pemburu	pemasok	0.3
pemburu	penanda	0.25
pemburu	pemikir	0.32
pemburu	saingan	0.3
pemburu	pembimbing	0.18
pemburu	petinggi	0.29
pemburu	pelaut	0.43
pemburu	pengrajin	0.33
pemburu	langganan	0.21
pemburu	pencinta	0.47
pemburu	kenalan	0.22
pemburu	penyidik	0.28
pemburu	pelacur	0.27
pemburu	pengirim	0.31
pemburu	perusak	0.34
pemburu	pendiam	0.24
pemburu	pemeluk	0.23
pemburu	penikmat	0.43
pemburu	pemangku	0.24
pemburu	perampok	0.4
pemburu	pelarian	0.37
pemburu	pengidap	0.16
pemburu	penunjuk	0.3
pemburu	pemuka	0.26
pemburu	pengemis	0.32
pemburu	pemusik	0.33
pemburu	sukarelawan	0.29
pemburu	penerbang	0.34
pemburu	pejalan	0.31
pemburu	petinju	0.2
pemburu	penyandang	0.28
pemburu	penanggung	0.22
pemburu	penolong	0.27
pemburu	jagoan	0.29
pemburu	penembak	0.44
pemburu	penipu	0.34
pemburu	penyelamat	0.42
pemburu	pendaftar	0.19
pemburu	pelari	0.37
pemburu	pengiring	0.29
pemburu	penata	0.25
pemburu	pengambil	0.35
pemburu	penuntut	0.31
pemburu	pembina	0.19
pemburu	tanggungan	0.18
pemburu	pencetus	0.22
pemburu	pemangsa	0.46
pemburu	penyebar	0.35
pemburu	pemesan	0.23
pemburu	dermawan	0.29
pemburu	pemeriksa	0.24
pemburu	negarawan	0.23
pemburu	pengukur	0.23
pemburu	penambang	0.34
pemburu	pembajak	0.36
pemburu	budayawan	0.28
pemburu	perekam	0.28
