noun_w_ekor_noaffix1	noun_w_ekor_noaffix2	cossim
kucing	kecoa	0.43
kucing	simpanse	0.37
kucing	pejantan	0.31
kucing	tupai	0.44
kucing	orangutan	0.42
kucing	ngengat	0.26
kucing	tokek	0.39
kucing	garuda	0.15
kucing	musang	0.48
kucing	keong	0.21
kucing	kalkun	0.31
kucing	cicak	0.39
kucing	gorila	0.32
kucing	patin	0.2
kucing	tungau	0.3
kucing	biawak	0.33
kucing	pipit	0.31
kucing	semur	0.24
kucing	mencit	0.34
kucing	bunglon	0.33
kucing	belatung	0.25
kucing	kancil	0.31
kucing	kobra	0.29
kucing	kupu	0.24
kucing	kerapu	0.28
kucing	beo	0.31
kucing	kecoak	0.4
kucing	cecak	0.36
kucing	sanca	0.31
kucing	lutung	0.4
kucing	rajungan	0.2
kucing	nuri	0.29
kucing	iguana	0.41
kucing	lipan	0.29
kucing	celeng	0.29
kucing	wader	0.24
kucing	beruk	0.37
kucing	marmut	0.44
kucing	laron	0.23
kucing	insekta	0.19
kucing	cenderawasih	0.28
kucing	kutilang	0.32
kucing	kelomang	0.3
kucing	pedet	0.33
kucing	lipas	0.42
kucing	cemani	0.38
kucing	bonobo	0.27
kucing	tonggeret	0.21
kucing	gazelle	0.26
kucing	tedong	0.19
kucing	pekatik	0.36
kucing	tongeret	0.32
binatang	sapi	0.52
binatang	anjing	0.59
binatang	kuda	0.48
binatang	ular	0.53
binatang	jantan	0.45
binatang	betina	0.41
binatang	ternak	0.62
binatang	babi	0.55
binatang	serangga	0.57
binatang	tikus	0.51
binatang	gajah	0.51
binatang	singa	0.48
binatang	domba	0.49
binatang	naga	0.42
binatang	bebek	0.43
binatang	buaya	0.49
binatang	cacing	0.43
binatang	paus	0.39
binatang	nyamuk	0.43
binatang	lebah	0.43
binatang	kutu	0.42
binatang	mamalia	0.59
binatang	hiu	0.41
binatang	harimau	0.56
binatang	kerbau	0.48
binatang	semut	0.44
binatang	beruang	0.54
binatang	monyet	0.52
binatang	lele	0.34
binatang	rusa	0.48
binatang	serigala	0.5
binatang	katak	0.46
binatang	unta	0.5
binatang	kera	0.55
binatang	ulat	0.46
binatang	kepiting	0.43
binatang	kodok	0.42
binatang	penyu	0.42
binatang	elang	0.4
binatang	rubah	0.33
binatang	kadal	0.45
binatang	merpati	0.42
binatang	lembu	0.49
binatang	kelelawar	0.43
binatang	belut	0.37
binatang	bersayap	0.39
binatang	keledai	0.45
binatang	belalang	0.38
binatang	siput	0.4
binatang	angsa	0.4
binatang	banteng	0.45
binatang	jangkrik	0.4
binatang	cupang	0.28
binatang	primata	0.54
binatang	pari	0.27
binatang	gagak	0.46
binatang	biota	0.4
binatang	gurita	0.4
binatang	kijang	0.42
binatang	kecoa	0.43
binatang	simpanse	0.44
binatang	pejantan	0.3
binatang	tupai	0.46
binatang	orangutan	0.45
binatang	ngengat	0.35
binatang	tokek	0.36
binatang	garuda	0.29
binatang	musang	0.46
binatang	keong	0.34
binatang	kalkun	0.33
binatang	cicak	0.42
binatang	gorila	0.41
binatang	patin	0.23
binatang	tungau	0.38
binatang	biawak	0.47
binatang	pipit	0.31
binatang	semur	0.22
binatang	mencit	0.37
binatang	bunglon	0.4
binatang	belatung	0.35
binatang	kancil	0.4
binatang	kobra	0.28
binatang	kupu	0.3
binatang	kerapu	0.22
binatang	beo	0.32
binatang	kecoak	0.44
binatang	cecak	0.46
binatang	sanca	0.31
binatang	lutung	0.4
binatang	rajungan	0.26
binatang	nuri	0.25
binatang	iguana	0.48
binatang	lipan	0.44
binatang	celeng	0.39
binatang	wader	0.19
binatang	beruk	0.41
binatang	marmut	0.45
binatang	laron	0.26
binatang	insekta	0.45
binatang	cenderawasih	0.38
binatang	kutilang	0.39
binatang	kelomang	0.42
binatang	pedet	0.29
binatang	lipas	0.46
binatang	cemani	0.3
binatang	bonobo	0.37
binatang	tonggeret	0.34
binatang	gazelle	0.32
binatang	tedong	0.31
binatang	pekatik	0.39
binatang	tongeret	0.31
sapi	anjing	0.5
sapi	kuda	0.58
sapi	ular	0.41
sapi	jantan	0.48
sapi	betina	0.45
sapi	ternak	0.69
sapi	babi	0.61
sapi	serangga	0.26
sapi	tikus	0.42
sapi	gajah	0.45
sapi	singa	0.38
sapi	domba	0.63
sapi	naga	0.38
sapi	bebek	0.46
sapi	buaya	0.4
sapi	cacing	0.37
sapi	paus	0.32
sapi	nyamuk	0.25
sapi	lebah	0.3
sapi	kutu	0.24
sapi	mamalia	0.4
sapi	hiu	0.35
sapi	harimau	0.4
sapi	kerbau	0.67
sapi	semut	0.28
sapi	beruang	0.35
